proj_hva_layer,readout_location_distance_sta.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1L5->V1L5,0.0073580520152599785,0.012703266405903595,inf,-0.01753989262632864,0.0322559966568486,0.5792251992637474,0.5624372297003226,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.7940290301651614
HVAL2/3->V1L2/3,-0.006981851853139658,0.006457971076639369,inf,-0.019639242576554177,0.005675538870274861,-1.0811215736774262,0.27964303804180146,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.6280894813206819
HVAL2/3->V1L4,-0.010501654873494802,0.013657873684662933,inf,-0.03727059540083151,0.016267285653841904,-0.7689084784323055,0.44194764387069346,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.6629214658060403
HVAL2/3->V1L5,-0.02874097890263923,0.007032661276159957,inf,-0.04252474171938224,-0.014957216085896223,-4.086785609889726,4.3739095174604033e-05,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.0010497382841904968
HVAL2/3->HVAL2/3,0.006777525092323816,0.003533327466354971,inf,-0.00014766948731808564,0.013702719671965718,1.9181706640159237,0.05508937468986656,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.22035749875946625
HVAL2/3->HVAL4,-0.005423573527392523,0.0056334792519403655,inf,-0.016464989968849285,0.005617842914064237,-0.9627395939240313,0.33567822158847005,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.6390773178204608
HVAL2/3->HVAL5,2.955251217880028e-05,0.005036407901452942,inf,-0.009841625586121918,0.009900730610479518,0.005867775755469437,0.9953182191847101,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.9953182191847101
HVAL4->HVAL2/3,0.004760532309425217,0.005053373726495295,inf,-0.005143898194926521,0.014664962813776956,0.9420503147165458,0.3461668804860829,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.6390773178204608
HVAL4->HVAL4,0.007121671232774087,0.006700880825150529,inf,-0.006011813849215986,0.02025515631476416,1.0627962828475024,0.2878743456053125,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.6280894813206819
HVAL4->HVAL5,0.011874828044970491,0.009501558150334296,inf,-0.006747883726697735,0.03049753981663872,1.2497769162790102,0.21138105077152064,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.5636828020573884
HVAL5->V1L5,-0.01188542662883572,0.014561107615852551,inf,-0.040424673130918604,0.016653819873247166,-0.8162446801709068,0.4143602070499397,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.6629214658060403
HVAL5->HVAL2/3,0.009991028076201738,0.005112070166361565,inf,-2.844533630860964e-05,0.020010501488712085,1.9543996367547307,0.05065397363453314,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.22035749875946625
HVAL5->HVAL4,0.014811244231853158,0.00827214244525331,inf,-0.0014018570358284212,0.031024345499534735,1.7904967582312477,0.07337408793379292,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.25156830148729
HVAL5->HVAL5,-0.0002817052820922115,0.006468025052790691,inf,-0.012958801436664743,0.012395390872480322,-0.043553523647943675,0.9652602992707398,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.9953182191847101
